leaf,total,density,timepoints,species,plantedyear,plantedtype
0.08,0.817160104,605.7777778,1,corn,2016,monoculture
0.061,0.843897884,605.7777778,1,corn,2016,monoculture
0.062,0.349548659,605.7777778,1,corn,2016,monoculture
0.057,0.713595015,605.7777778,1,corn,2016,monoculture
0.053,0.562867851,605.7777778,1,corn,2016,monoculture
0.047,0.53684449,605.7777778,1,corn,2016,monoculture
0.042,0.445365144,605.7777778,1,corn,2016,monoculture
0.053,0.590344064,605.7777778,1,corn,2016,monoculture
0.051,0.651580203,605.7777778,1,corn,2016,monoculture
0.028,0.287381521,605.7777778,1,corn,2016,monoculture
0.092,0.832171335,585.3333333,1,corn,2016,monoculture
0.1,1.049956913,585.3333333,1,corn,2016,monoculture
0.068,0.74098845,585.3333333,1,corn,2016,monoculture
0.082,1.052270143,585.3333333,1,corn,2016,monoculture
0.056,0.641125657,585.3333333,1,corn,2016,monoculture
0.049,0.539556579,585.3333333,1,corn,2016,monoculture
0.041,0.335726002,585.3333333,1,corn,2016,monoculture
0.051,0.558825576,585.3333333,1,corn,2016,monoculture
0.047,0.483598982,585.3333333,1,corn,2016,monoculture
0.068,0.923795183,585.3333333,1,corn,2016,monoculture
0.106,1.12597671,544.8888889,1,corn,2016,monoculture
0.063,0.729930885,544.8888889,1,corn,2016,monoculture
0.09,0.93754563,544.8888889,1,corn,2016,monoculture
0.064,0.831821586,544.8888889,1,corn,2016,monoculture
0.11,1.704289591,544.8888889,1,corn,2016,monoculture
0.034,0.272123318,544.8888889,1,corn,2016,monoculture
0.078,0.911378367,544.8888889,1,corn,2016,monoculture
0.075,1.009289031,544.8888889,1,corn,2016,monoculture
0.055,0.609645507,544.8888889,1,corn,2016,monoculture
0.06,0.740887881,544.8888889,1,corn,2016,monoculture
0.097,0.983596994,463.1111111,1,corn,2016,monoculture
0.078,0.939694365,463.1111111,1,corn,2016,monoculture
0.084,0.719102919,463.1111111,1,corn,2016,monoculture
0.06,0.762112962,463.1111111,1,corn,2016,monoculture
0.078,0.894379991,463.1111111,1,corn,2016,monoculture
0.072,0.920803163,463.1111111,1,corn,2016,monoculture
0.071,0.920307765,463.1111111,1,corn,2016,monoculture
0.074,0.916445104,463.1111111,1,corn,2016,monoculture
0.066,0.837925016,463.1111111,1,corn,2016,monoculture
0.054,0.579267846,463.1111111,1,corn,2016,monoculture
0.134,0.966791026,385.3333333,1,corn,2016,monoculture
0.132,1.159096718,385.3333333,1,corn,2016,monoculture
0.101,0.838032105,385.3333333,1,corn,2016,monoculture
0.056,0.772101388,385.3333333,1,corn,2016,monoculture
0.046,0.509790271,385.3333333,1,corn,2016,monoculture
0.054,0.670623972,385.3333333,1,corn,2016,monoculture
0.063,0.762627491,385.3333333,1,corn,2016,monoculture
0.063,0.854844706,385.3333333,1,corn,2016,monoculture
0.055,0.681710019,385.3333333,1,corn,2016,monoculture
0.051,0.591882934,385.3333333,1,corn,2016,monoculture
0.047,0.529828209,385.3333333,1,corn,2016,monoculture
0.082,0.864842112,250.2222222,1,corn,2016,monoculture
0.059,0.786260284,250.2222222,1,corn,2016,monoculture
0.073,1.048152751,250.2222222,1,corn,2016,monoculture
0.086,1.151684774,250.2222222,1,corn,2016,monoculture
0.061,0.745675037,250.2222222,1,corn,2016,monoculture
0.076,0.889981011,250.2222222,1,corn,2016,monoculture
0.082,1.020457024,250.2222222,1,corn,2016,monoculture
0.08,1.031365823,250.2222222,1,corn,2016,monoculture
0.066,0.850836754,250.2222222,1,corn,2016,monoculture
0.085,1.149533029,250.2222222,1,corn,2016,monoculture
0.062,0.870530238,368,1,corn,2016,monoculture
0.08,0.926787464,368,1,corn,2016,monoculture
0.078,0.909093128,368,1,corn,2016,monoculture
0.064,0.832322821,368,1,corn,2016,monoculture
0.062,0.854844706,368,1,corn,2016,monoculture
0.073,0.990826322,368,1,corn,2016,monoculture
0.06,0.709286842,368,1,corn,2016,monoculture
0.066,0.842524436,368,1,corn,2016,monoculture
0.048,0.520708841,368,1,corn,2016,monoculture
0.061,0.763273335,368,1,corn,2016,monoculture
0.066,0.727318662,368,1,corn,2016,monoculture
0.104,0.983002272,436.4444444,1,corn,2016,monoculture
0.093,1.206512216,436.4444444,1,corn,2016,monoculture
0.06,1.04023982,436.4444444,1,corn,2016,monoculture
0.059,0.72136032,436.4444444,1,corn,2016,monoculture
0.07,0.881602283,436.4444444,1,corn,2016,monoculture
0.054,0.629915988,436.4444444,1,corn,2016,monoculture
0.062,0.753807357,436.4444444,1,corn,2016,monoculture
0.061,0.802361772,436.4444444,1,corn,2016,monoculture
0.06,0.772218582,436.4444444,1,corn,2016,monoculture
0.064,0.78431188,436.4444444,1,corn,2016,monoculture
0.105,1.203671919,316.4444444,1,corn,2016,monoculture
0.123,1.103043092,316.4444444,1,corn,2016,monoculture
0.079,0.757199548,316.4444444,1,corn,2016,monoculture
0.077,0.981333884,316.4444444,1,corn,2016,monoculture
0.077,1.025625277,316.4444444,1,corn,2016,monoculture
0.071,0.872552261,316.4444444,1,corn,2016,monoculture
0.059,0.659267654,316.4444444,1,corn,2016,monoculture
0.058,0.674166566,316.4444444,1,corn,2016,monoculture
0.064,0.77555447,316.4444444,1,corn,2016,monoculture
0.067,0.839298645,316.4444444,1,corn,2016,monoculture
0.112,1.328712057,326.2222222,1,corn,2016,monoculture
0.08,0.847541739,326.2222222,1,corn,2016,monoculture
0.086,0.991120929,326.2222222,1,corn,2016,monoculture
0.08,1.015895793,326.2222222,1,corn,2016,monoculture
0.073,0.911434035,326.2222222,1,corn,2016,monoculture
0.077,0.993266212,326.2222222,1,corn,2016,monoculture
0.076,1.014193242,326.2222222,1,corn,2016,monoculture
0.06,0.791638585,326.2222222,1,corn,2016,monoculture
0.08,0.807697223,326.2222222,1,corn,2016,monoculture
0.061,0.804153514,326.2222222,1,corn,2016,monoculture
0.108,1.227481081,388,1,corn,2016,monoculture
0.054,0.780962301,388,1,corn,2016,monoculture
0.039,0.565206931,388,1,corn,2016,monoculture
0.063,0.735402764,388,1,corn,2016,monoculture
0.067,0.798782178,388,1,corn,2016,monoculture
0.081,1.093396787,388,1,corn,2016,monoculture
0.075,0.968694361,388,1,corn,2016,monoculture
0.074,1.115158467,388,1,corn,2016,monoculture
0.065,0.809612724,388,1,corn,2016,monoculture
0.087,1.163856437,388,1,corn,2016,monoculture
0.074,0.707560858,132.8888889,1,corn,2016,monoculture
0.082,0.984797624,132.8888889,1,corn,2016,monoculture
0.087,0.897744685,132.8888889,1,corn,2016,monoculture
0.057,0.649888148,132.8888889,1,corn,2016,monoculture
0.07,0.895372105,132.8888889,1,corn,2016,monoculture
0.056,0.625883445,132.8888889,1,corn,2016,monoculture
0.071,0.867673686,132.8888889,1,corn,2016,monoculture
0.086,1.241492714,132.8888889,1,corn,2016,monoculture
0.074,0.974776354,132.8888889,1,corn,2016,monoculture
0.069,0.857088336,132.8888889,1,corn,2016,monoculture
0.059,0.931109006,168.8888889,1,corn,2016,monoculture
0.064,0.803404583,168.8888889,1,corn,2016,monoculture
0.076,0.719630664,168.8888889,1,corn,2016,monoculture
0.069,0.770518117,168.8888889,1,corn,2016,monoculture
0.082,1.01911745,168.8888889,1,corn,2016,monoculture
0.082,1.03431102,168.8888889,1,corn,2016,monoculture
0.08,1.016174088,168.8888889,1,corn,2016,monoculture
0.092,1.275696442,168.8888889,1,corn,2016,monoculture
0.072,0.889705919,168.8888889,1,corn,2016,monoculture
0.073,0.910069883,168.8888889,1,corn,2016,monoculture
0.116,1.118929512,168.4444444,1,corn,2016,monoculture
0.093,1.049138438,168.4444444,1,corn,2016,monoculture
0.076,0.950861409,168.4444444,1,corn,2016,monoculture
0.064,0.741846291,168.4444444,1,corn,2016,monoculture
0.095,1.257253292,168.4444444,1,corn,2016,monoculture
0.074,0.860995369,168.4444444,1,corn,2016,monoculture
0.067,0.751230523,168.4444444,1,corn,2016,monoculture
0.061,0.697268151,168.4444444,1,corn,2016,monoculture
0.065,0.750860017,168.4444444,1,corn,2016,monoculture
0.057,0.6564938,168.4444444,1,corn,2016,monoculture
0.102,0.716989454,138.6666667,1,corn,2016,monoculture
0.067,0.684791965,138.6666667,1,corn,2016,monoculture
0.057,0.813383575,138.6666667,1,corn,2016,monoculture
0.062,0.752142827,138.6666667,1,corn,2016,monoculture
0.042,0.450669636,138.6666667,1,corn,2016,monoculture
0.068,0.857565659,138.6666667,1,corn,2016,monoculture
0.067,0.859302477,138.6666667,1,corn,2016,monoculture
0.07,0.912126108,138.6666667,1,corn,2016,monoculture
0.065,0.809400642,138.6666667,1,corn,2016,monoculture
0.061,0.767491791,138.6666667,1,corn,2016,monoculture
0.05,0.758109114,101.7777778,1,corn,2016,monoculture
0.096,1.089131598,101.7777778,1,corn,2016,monoculture
0.079,0.942961394,101.7777778,1,corn,2016,monoculture
0.078,0.916445104,101.7777778,1,corn,2016,monoculture
0.068,0.786294566,101.7777778,1,corn,2016,monoculture
0.088,1.203581958,101.7777778,1,corn,2016,monoculture
0.073,0.912114486,101.7777778,1,corn,2016,monoculture
0.06,0.649989965,101.7777778,1,corn,2016,monoculture
0.072,0.859175492,101.7777778,1,corn,2016,monoculture
0.06,0.704124522,101.7777778,1,corn,2016,monoculture
0.161,1.096257215,24,1,corn,2016,monoculture
0.083,0.871150757,24,1,corn,2016,monoculture
0.054,0.74218075,24,1,corn,2016,monoculture
0.068,0.913704954,24,1,corn,2016,monoculture
0.063,0.730612917,24,1,corn,2016,monoculture
0.076,0.927139972,24,1,corn,2016,monoculture
0.069,0.835091073,24,1,corn,2016,monoculture
0.083,0.980785128,24,1,corn,2016,monoculture
0.07,0.835476229,24,1,corn,2016,monoculture
0.068,0.840259124,24,1,corn,2016,monoculture
0.19,1.40719833,167.1111111,1,corn,2016,monoculture
0.123,1.213442691,167.1111111,1,corn,2016,monoculture
0.09,0.805830297,167.1111111,1,corn,2016,monoculture
0.096,1.245014888,167.1111111,1,corn,2016,monoculture
0.078,0.982790712,167.1111111,1,corn,2016,monoculture
0.122,1.698507574,167.1111111,1,corn,2016,monoculture
0.098,1.289399992,167.1111111,1,corn,2016,monoculture
0.145,2.080166279,167.1111111,1,corn,2016,monoculture
0.064,0.655028305,167.1111111,1,corn,2016,monoculture
0.108,1.489332563,167.1111111,1,corn,2016,monoculture
0.06,0.64496966,68.44444444,1,corn,2016,monoculture
0.078,0.589684353,68.44444444,1,corn,2016,monoculture
0.095,0.734789867,68.44444444,1,corn,2016,monoculture
0.055,0.550497844,68.44444444,1,corn,2016,monoculture
0.039,0.271426217,68.44444444,1,corn,2016,monoculture
0.041,0.429574482,68.44444444,1,corn,2016,monoculture
0.033,0.211610383,68.44444444,1,corn,2016,monoculture
0.049,0.459821345,68.44444444,1,corn,2016,monoculture
0.045,0.447366868,68.44444444,1,corn,2016,monoculture
0.056,0.618340059,68.44444444,1,corn,2016,monoculture
0.077,1.119527467,88.88888889,1,corn,2016,monoculture
0.129,0.978320938,88.88888889,1,corn,2016,monoculture
0.082,1.022578913,88.88888889,1,corn,2016,monoculture
0.068,0.772101388,88.88888889,1,corn,2016,monoculture
0.081,0.959548587,88.88888889,1,corn,2016,monoculture
0.108,1.333441768,88.88888889,1,corn,2016,monoculture
0.084,1.021291322,88.88888889,1,corn,2016,monoculture
0.063,0.680267625,88.88888889,1,corn,2016,monoculture
0.05,0.613427725,88.88888889,1,corn,2016,monoculture
0.06,0.775932132,54.66666667,1,corn,2016,monoculture
0.035,0.480159525,54.66666667,1,corn,2016,monoculture
0.051,0.95682207,54.66666667,1,corn,2016,monoculture
0.063,0.731753372,54.66666667,1,corn,2016,monoculture
0.072,0.941913577,54.66666667,1,corn,2016,monoculture
0.074,0.796025785,54.66666667,1,corn,2016,monoculture
0.084,1.171643248,54.66666667,1,corn,2016,monoculture
0.097,1.183709884,54.66666667,1,corn,2016,monoculture
0.066,0.733573917,54.66666667,1,corn,2016,monoculture
0.086,1.097551175,54.66666667,1,corn,2016,monoculture
0.077,0.925171974,60.44444444,1,corn,2016,monoculture
