leaf,total,density,timepoints,species,plantedyear,plantedtype
0.03,0.045,145.3333333,1,flax,2011,monoculture
0.04,0.059,145.3333333,1,flax,2011,monoculture
0.009,0.017,145.3333333,1,flax,2011,monoculture
0.027,0.043,145.3333333,1,flax,2011,monoculture
0.009,0.019,145.3333333,1,flax,2011,monoculture
0.017,0.031,145.3333333,1,flax,2011,monoculture
0.018,0.034,145.3333333,1,flax,2011,monoculture
0.016,0.031,145.3333333,1,flax,2011,monoculture
0.001,0.007,145.3333333,1,flax,2011,monoculture
0.012,0.024,145.3333333,1,flax,2011,monoculture
0.016,0.031,145.3333333,1,flax,2011,monoculture
0.019,0.035,145.3333333,1,flax,2011,monoculture
0.026,0.045,145.3333333,1,flax,2011,monoculture
0.047,0.081,145.3333333,1,flax,2011,monoculture
0.012,0.022,145.3333333,1,flax,2011,monoculture
0.023,0.038,145.3333333,1,flax,2011,monoculture
0.016,0.03,145.3333333,1,flax,2011,monoculture
0.006,0.01,145.3333333,1,flax,2011,monoculture
0.006,0.011,145.3333333,1,flax,2011,monoculture
0.029,0.051,145.3333333,1,flax,2011,monoculture
0.039,0.069,195.5555556,1,flax,2011,monoculture
0.037,0.05,195.5555556,1,flax,2011,monoculture
0.031,0.052,195.5555556,1,flax,2011,monoculture
0.023,0.039,195.5555556,1,flax,2011,monoculture
0.037,0.061,195.5555556,1,flax,2011,monoculture
0.038,0.068,195.5555556,1,flax,2011,monoculture
0.019,0.034,195.5555556,1,flax,2011,monoculture
0.066,0.106,195.5555556,1,flax,2011,monoculture
0.03,0.046,195.5555556,1,flax,2011,monoculture
0.006,0.015,195.5555556,1,flax,2011,monoculture
0.024,0.036,195.5555556,1,flax,2011,monoculture
0.015,0.034,195.5555556,1,flax,2011,monoculture
0.023,0.038,195.5555556,1,flax,2011,monoculture
0.011,0.019,195.5555556,1,flax,2011,monoculture
0.006,0.009,195.5555556,1,flax,2011,monoculture
0.016,0.026,195.5555556,1,flax,2011,monoculture
0.015,0.035,195.5555556,1,flax,2011,monoculture
0.065,0.067,195.5555556,1,flax,2011,monoculture
0.04,0.06,195.5555556,1,flax,2011,monoculture
0.023,0.054,195.5555556,1,flax,2011,monoculture
0.026,0.041,374.6666667,1,flax,2011,monoculture
0.01,0.027,374.6666667,1,flax,2011,monoculture
0.013,0.022,374.6666667,1,flax,2011,monoculture
0.015,0.028,374.6666667,1,flax,2011,monoculture
0.011,0.026,374.6666667,1,flax,2011,monoculture
0.026,0.05,374.6666667,1,flax,2011,monoculture
0.007,0.014,374.6666667,1,flax,2011,monoculture
0.007,0.015,374.6666667,1,flax,2011,monoculture
0.002,0.01,374.6666667,1,flax,2011,monoculture
0.006,0.019,374.6666667,1,flax,2011,monoculture
0.014,0.03,374.6666667,1,flax,2011,monoculture
0.014,0.026,374.6666667,1,flax,2011,monoculture
0.011,0.029,374.6666667,1,flax,2011,monoculture
0.012,0.023,374.6666667,1,flax,2011,monoculture
0.009,0.026,374.6666667,1,flax,2011,monoculture
0.007,0.02,374.6666667,1,flax,2011,monoculture
0.017,0.021,374.6666667,1,flax,2011,monoculture
0.005,0.012,374.6666667,1,flax,2011,monoculture
0.003,0.008,374.6666667,1,flax,2011,monoculture
0.001,0.003,374.6666667,1,flax,2011,monoculture
0.035,0.05,497.7777778,1,flax,2011,monoculture
0.018,0.033,497.7777778,1,flax,2011,monoculture
0.016,0.031,497.7777778,1,flax,2011,monoculture
0.109,0.168,497.7777778,1,flax,2011,monoculture
0.034,0.053,497.7777778,1,flax,2011,monoculture
0.026,0.05,497.7777778,1,flax,2011,monoculture
0.008,0.013,497.7777778,1,flax,2011,monoculture
0.061,0.092,497.7777778,1,flax,2011,monoculture
0.018,0.03,497.7777778,1,flax,2011,monoculture
0.012,0.025,497.7777778,1,flax,2011,monoculture
0.016,0.025,497.7777778,1,flax,2011,monoculture
0.031,0.052,497.7777778,1,flax,2011,monoculture
0.01,0.018,497.7777778,1,flax,2011,monoculture
0.012,0.017,497.7777778,1,flax,2011,monoculture
0.013,0.019,497.7777778,1,flax,2011,monoculture
0.012,0.018,497.7777778,1,flax,2011,monoculture
0.013,0.023,497.7777778,1,flax,2011,monoculture
0.013,0.02,497.7777778,1,flax,2011,monoculture
0.005,0.009,497.7777778,1,flax,2011,monoculture
0.003,0.008,497.7777778,1,flax,2011,monoculture
0.021,0.034,827.5555556,1,flax,2011,monoculture
0.022,0.038,827.5555556,1,flax,2011,monoculture
0.029,0.045,827.5555556,1,flax,2011,monoculture
0.048,0.078,827.5555556,1,flax,2011,monoculture
0.024,0.042,827.5555556,1,flax,2011,monoculture
0.017,0.027,827.5555556,1,flax,2011,monoculture
0.018,0.027,827.5555556,1,flax,2011,monoculture
0.027,0.044,827.5555556,1,flax,2011,monoculture
0.022,0.038,827.5555556,1,flax,2011,monoculture
0.01,0.018,827.5555556,1,flax,2011,monoculture
0.029,0.056,827.5555556,1,flax,2011,monoculture
0.038,0.064,827.5555556,1,flax,2011,monoculture
0.019,0.031,827.5555556,1,flax,2011,monoculture
0.015,0.025,827.5555556,1,flax,2011,monoculture
0.009,0.018,827.5555556,1,flax,2011,monoculture
0.005,0.013,827.5555556,1,flax,2011,monoculture
0.007,0.011,827.5555556,1,flax,2011,monoculture
0.013,0.018,827.5555556,1,flax,2011,monoculture
0.017,0.032,827.5555556,1,flax,2011,monoculture
0.005,0.015,827.5555556,1,flax,2011,monoculture
0.006,0.009,1252,1,flax,2011,monoculture
0.009,0.014,1252,1,flax,2011,monoculture
0.008,0.017,1252,1,flax,2011,monoculture
0.005,0.009,1252,1,flax,2011,monoculture
0.007,0.017,1252,1,flax,2011,monoculture
0.004,0.007,1252,1,flax,2011,monoculture
0.006,0.011,1252,1,flax,2011,monoculture
0.007,0.012,1252,1,flax,2011,monoculture
0.007,0.011,1252,1,flax,2011,monoculture
0.008,0.013,1252,1,flax,2011,monoculture
0.009,0.014,1252,1,flax,2011,monoculture
0.009,0.013,1252,1,flax,2011,monoculture
0.004,0.008,1252,1,flax,2011,monoculture
0.006,0.01,1252,1,flax,2011,monoculture
0.007,0.01,1252,1,flax,2011,monoculture
0.006,0.011,1252,1,flax,2011,monoculture
0.005,0.008,1252,1,flax,2011,monoculture
0.007,0.009,1252,1,flax,2011,monoculture
0.005,0.008,1252,1,flax,2011,monoculture
0.006,0.008,1252,1,flax,2011,monoculture
0.017,0.032,2324.888889,1,flax,2011,monoculture
0.017,0.031,2324.888889,1,flax,2011,monoculture
0.008,0.016,2324.888889,1,flax,2011,monoculture
0.003,0.007,2324.888889,1,flax,2011,monoculture
0.01,0.019,2324.888889,1,flax,2011,monoculture
0.003,0.008,2324.888889,1,flax,2011,monoculture
0.006,0.009,2324.888889,1,flax,2011,monoculture
0.004,0.012,2324.888889,1,flax,2011,monoculture
