leaf,total,density,timepoints,species,plantedyear,plantedtype
0.095,0.149,512,1,flax,2011,mixture
0.05,0.074,512,1,flax,2011,mixture
0.105,0.162,512,1,flax,2011,mixture
0.011,0.033,512,1,flax,2011,mixture
0.041,0.061,512,1,flax,2011,mixture
0.025,0.041,512,1,flax,2011,mixture
0.018,0.028,512,1,flax,2011,mixture
0.019,0.038,512,1,flax,2011,mixture
0.019,0.036,512,1,flax,2011,mixture
0.025,0.037,512,1,flax,2011,mixture
0.12,0.352,142,1,corn,2011,mixture
0.101,0.484,142,1,corn,2011,mixture
0.166,0.554,142,1,corn,2011,mixture
0.01,0.021,1047,1,flax,2011,mixture
0.036,0.063,1047,1,flax,2011,mixture
0.006,0.009,1047,1,flax,2011,mixture
0.021,0.04,1047,1,flax,2011,mixture
0.035,0.058,1047,1,flax,2011,mixture
0.054,0.082,1047,1,flax,2011,mixture
0.02,0.04,1047,1,flax,2011,mixture
0.006,0.012,1047,1,flax,2011,mixture
0.01,0.024,1047,1,flax,2011,mixture
0.003,0.013,1047,1,flax,2011,mixture
0.306,0.843,163,1,corn,2011,mixture
0.124,0.377,163,1,corn,2011,mixture
0.115,0.284,163,1,corn,2011,mixture
0.058,0.09,1718,1,flax,2011,mixture
0.059,0.098,1718,1,flax,2011,mixture
0.03,0.149,1718,1,flax,2011,mixture
0.042,0.07,1718,1,flax,2011,mixture
0.061,0.07,1718,1,flax,2011,mixture
0.041,0.065,1718,1,flax,2011,mixture
0.017,0.031,1718,1,flax,2011,mixture
0.035,0.056,1718,1,flax,2011,mixture
0.021,0.039,1718,1,flax,2011,mixture
0.009,0.016,1718,1,flax,2011,mixture
0.133,0.379,290,1,corn,2011,mixture
0.209,0.595,290,1,corn,2011,mixture
0.117,0.406,290,1,corn,2011,mixture
0.009,0.022,2755,1,flax,2011,mixture
0.021,0.038,2755,1,flax,2011,mixture
0.012,0.025,2755,1,flax,2011,mixture
0.017,0.032,2755,1,flax,2011,mixture
0.007,0.016,2755,1,flax,2011,mixture
0.014,0.028,2755,1,flax,2011,mixture
0.017,0.037,2755,1,flax,2011,mixture
0.008,0.015,2755,1,flax,2011,mixture
0.014,0.025,2755,1,flax,2011,mixture
0.015,0.027,2755,1,flax,2011,mixture
0.152,0.534,450,1,corn,2011,mixture
0.125,0.402,450,1,corn,2011,mixture
0.122,0.316,450,1,corn,2011,mixture
0.005,0.013,3513,1,flax,2011,mixture
0.01,0.019,3513,1,flax,2011,mixture
0.004,0.01,3513,1,flax,2011,mixture
0.006,0.014,3513,1,flax,2011,mixture
0.008,0.013,3513,1,flax,2011,mixture
0.008,0.015,3513,1,flax,2011,mixture
0.004,1.006,3513,1,flax,2011,mixture
0.008,0.018,3513,1,flax,2011,mixture
0.007,0.01,3513,1,flax,2011,mixture
0.006,0.01,3513,1,flax,2011,mixture
