leaf,total,density,timepoints,species,plantedyear,plantedtype
0.047,0.077,194,1,flax,2011,mixture
0.046,0.074,194,1,flax,2011,mixture
0.023,0.048,194,1,flax,2011,mixture
0.018,0.03,194,1,flax,2011,mixture
0.005,0.011,194,1,flax,2011,mixture
0.063,0.299,131,1,wheat,2011,mixture
0.102,0.351,131,1,wheat,2011,mixture
0.09,0.448,131,1,wheat,2011,mixture
0.156,0.333,131,1,wheat,2011,mixture
0.021,0.052,131,1,wheat,2011,mixture
0.029,0.042,518,1,flax,2011,mixture
0.008,0.012,518,1,flax,2011,mixture
0.014,0.023,518,1,flax,2011,mixture
0.013,0.019,518,1,flax,2011,mixture
0.015,0.024,518,1,flax,2011,mixture
0.226,0.715,46,1,wheat,2011,mixture
0.154,0.56,46,1,wheat,2011,mixture
0.05,0.109,46,1,wheat,2011,mixture
0.053,0.119,46,1,wheat,2011,mixture
0.067,0.208,46,1,wheat,2011,mixture
0.01,0.018,823,1,flax,2011,mixture
0.006,0.009,823,1,flax,2011,mixture
0.008,0.013,823,1,flax,2011,mixture
0.011,0.018,823,1,flax,2011,mixture
0.012,0.023,823,1,flax,2011,mixture
0.08,0.485,153,1,wheat,2011,mixture
0.066,0.362,153,1,wheat,2011,mixture
0.184,0.682,153,1,wheat,2011,mixture
0.184,0.458,153,1,wheat,2011,mixture
0.029,0.073,153,1,wheat,2011,mixture
0.019,0.034,1114,1,flax,2011,mixture
0.023,0.036,1114,1,flax,2011,mixture
0.012,0.022,1114,1,flax,2011,mixture
0.019,0.035,1114,1,flax,2011,mixture
0.014,0.029,1114,1,flax,2011,mixture
0.019,0.035,1114,1,flax,2011,mixture
0.014,0.025,1114,1,flax,2011,mixture
0.011,0.018,1114,1,flax,2011,mixture
0.01,0.018,1114,1,flax,2011,mixture
0.016,0.03,1114,1,flax,2011,mixture
0.133,0.315,231,1,wheat,2011,mixture
0.16,0.449,231,1,wheat,2011,mixture
0.105,0.224,231,1,wheat,2011,mixture
0.029,0.05,231,1,wheat,2011,mixture
0.066,0.119,231,1,wheat,2011,mixture
0.057,0.123,231,1,wheat,2011,mixture
0.089,0.288,231,1,wheat,2011,mixture
0.158,0.411,231,1,wheat,2011,mixture
0.077,0.115,231,1,wheat,2011,mixture
0.143,0.413,231,1,wheat,2011,mixture
0.008,0.015,1320,1,flax,2011,mixture
0.007,0.014,1320,1,flax,2011,mixture
0.036,0.064,1320,1,flax,2011,mixture
0.023,0.044,1320,1,flax,2011,mixture
0.007,0.011,1320,1,flax,2011,mixture
0.006,0.011,1320,1,flax,2011,mixture
0.009,0.013,1320,1,flax,2011,mixture
0.006,0.012,1320,1,flax,2011,mixture
0.004,0.007,1320,1,flax,2011,mixture
0.005,0.008,1320,1,flax,2011,mixture
0.039,0.1,3150,1,wheat,2011,mixture
0.058,0.161,3150,1,wheat,2011,mixture
0.107,0.228,3150,1,wheat,2011,mixture
0.047,0.159,3150,1,wheat,2011,mixture
0.057,0.153,3150,1,wheat,2011,mixture
0.059,0.138,3150,1,wheat,2011,mixture
0.075,0.231,3150,1,wheat,2011,mixture
0.093,0.21,3150,1,wheat,2011,mixture
0.017,0.036,3150,1,wheat,2011,mixture
0.069,0.13,3150,1,wheat,2011,mixture
0.015,0.05,1603,1,flax,2011,mixture
0.15,0.273,1603,1,flax,2011,mixture
0.057,0.183,1603,1,flax,2011,mixture
0.112,0.245,1603,1,flax,2011,mixture
0.018,0.048,1603,1,flax,2011,mixture
0.018,0.048,1603,1,flax,2011,mixture
0.018,0.05,1603,1,flax,2011,mixture
0.017,0.029,1603,1,flax,2011,mixture
0.007,0.023,1603,1,flax,2011,mixture
0.126,0.282,1603,1,flax,2011,mixture
0.011,0.025,304,1,wheat,2011,mixture
0.01,0.022,304,1,wheat,2011,mixture
0.007,0.021,304,1,wheat,2011,mixture
0.01,0.019,304,1,wheat,2011,mixture
0.012,0.023,304,1,wheat,2011,mixture
0.01,0.019,304,1,wheat,2011,mixture
0.009,0.012,304,1,wheat,2011,mixture
0.007,0.014,304,1,wheat,2011,mixture
0.007,0.016,304,1,wheat,2011,mixture
0.01,0.017,304,1,wheat,2011,mixture
0.01,0.017,196,1,flax,2011,mixture
0.037,0.052,196,1,flax,2011,mixture
0.021,0.04,196,1,flax,2011,mixture
0.025,0.041,196,1,flax,2011,mixture
0.008,0.013,196,1,flax,2011,mixture
0.223,0.516,82,1,wheat,2011,mixture
0.143,0.332,82,1,wheat,2011,mixture
0.174,0.454,82,1,wheat,2011,mixture
0.093,0.212,82,1,wheat,2011,mixture
0.165,0.63,82,1,wheat,2011,mixture
0.029,0.051,1132,1,flax,2011,mixture
0.041,0.066,1132,1,flax,2011,mixture
0.038,0.065,1132,1,flax,2011,mixture
0.023,0.039,1132,1,flax,2011,mixture
0.016,0.029,1132,1,flax,2011,mixture
0.049,0.101,146,1,wheat,2011,mixture
0.03,0.062,146,1,wheat,2011,mixture
0.05,0.123,146,1,wheat,2011,mixture
0.017,0.058,146,1,wheat,2011,mixture
0.025,0.055,146,1,wheat,2011,mixture
0.027,0.05,972,1,flax,2011,mixture
0.014,0.089,972,1,flax,2011,mixture
0.027,0.045,972,1,flax,2011,mixture
0.021,0.045,972,1,flax,2011,mixture
0.015,0.032,972,1,flax,2011,mixture
0.152,0.483,219,1,wheat,2011,mixture
0.062,0.16,219,1,wheat,2011,mixture
0.082,0.211,219,1,wheat,2011,mixture
0.067,0.153,219,1,wheat,2011,mixture
0.15,0.384,219,1,wheat,2011,mixture
0.009,0.014,1634,1,flax,2011,mixture
0.014,0.024,1634,1,flax,2011,mixture
0.007,0.012,1634,1,flax,2011,mixture
0.009,0.018,1634,1,flax,2011,mixture
0.009,0.014,1634,1,flax,2011,mixture
0.008,0.013,1634,1,flax,2011,mixture
0.005,0.008,1634,1,flax,2011,mixture
0.007,0.014,1634,1,flax,2011,mixture
0.015,0.022,1634,1,flax,2011,mixture
0.01,0.013,1634,1,flax,2011,mixture
0.045,0.099,240,1,wheat,2011,mixture
0.099,0.234,240,1,wheat,2011,mixture
0.072,0.138,240,1,wheat,2011,mixture
0.008,0.033,240,1,wheat,2011,mixture
0.061,0.143,240,1,wheat,2011,mixture
0.033,0.07,240,1,wheat,2011,mixture
0.063,0.139,240,1,wheat,2011,mixture
0.052,0.133,240,1,wheat,2011,mixture
0.021,0.05,240,1,wheat,2011,mixture
0.022,0.059,240,1,wheat,2011,mixture
0.001,0.004,1600,1,flax,2011,mixture
0.019,0.025,1600,1,flax,2011,mixture
0.006,0.008,1600,1,flax,2011,mixture
0.012,0.016,1600,1,flax,2011,mixture
0.007,0.012,1600,1,flax,2011,mixture
0.012,0.016,1600,1,flax,2011,mixture
0.009,0.018,1600,1,flax,2011,mixture
0.005,0.009,1600,1,flax,2011,mixture
0.012,0.014,1600,1,flax,2011,mixture
0.009,0.014,1600,1,flax,2011,mixture
0.056,0.166,1890,1,wheat,2011,mixture
0.105,0.423,1890,1,wheat,2011,mixture
0.092,0.287,1890,1,wheat,2011,mixture
0.132,0.409,1890,1,wheat,2011,mixture
0.149,0.492,1890,1,wheat,2011,mixture
0.198,0.563,1890,1,wheat,2011,mixture
0.107,0.391,1890,1,wheat,2011,mixture
0.089,0.34,1890,1,wheat,2011,mixture
0.101,0.241,1890,1,wheat,2011,mixture
0.179,0.524,1890,1,wheat,2011,mixture
0.017,0.025,3613,1,flax,2011,mixture
0.013,0.021,3613,1,flax,2011,mixture
0.014,0.025,3613,1,flax,2011,mixture
0.006,0.011,3613,1,flax,2011,mixture
0.009,0.014,3613,1,flax,2011,mixture
0.013,0.019,3613,1,flax,2011,mixture
0.006,0.008,3613,1,flax,2011,mixture
0.006,0.013,3613,1,flax,2011,mixture
0.009,0.014,3613,1,flax,2011,mixture
0.008,0.012,3613,1,flax,2011,mixture
0.065,0.189,670,1,wheat,2011,mixture
0.101,0.25,670,1,wheat,2011,mixture
0.04,0.147,670,1,wheat,2011,mixture
0.023,0.052,670,1,wheat,2011,mixture
0.078,0.131,670,1,wheat,2011,mixture
0.091,0.314,670,1,wheat,2011,mixture
0.12,0.313,670,1,wheat,2011,mixture
0.036,0.136,670,1,wheat,2011,mixture
0.07,0.163,670,1,wheat,2011,mixture
0.025,0.051,670,1,wheat,2011,mixture
0.047,0.072,288,1,flax,2011,mixture
0.044,0.068,288,1,flax,2011,mixture
0.056,0.092,288,1,flax,2011,mixture
0.065,0.103,288,1,flax,2011,mixture
0.047,0.076,288,1,flax,2011,mixture
0.173,0.504,71,1,wheat,2011,mixture
0.062,0.137,71,1,wheat,2011,mixture
0.079,0.195,71,1,wheat,2011,mixture
