leaf,total,density,timepoints,species,plantedyear,plantedtype
0.192,0.357541419,0.444444444,1,soybean,2015,monoculture
0.229,0.628490775,0.444444444,1,soybean,2015,monoculture
0.24,0.209496925,0.444444444,1,soybean,2015,monoculture
0.108,0.628490775,0.444444444,1,soybean,2015,monoculture
0.297,0.425821898,1.777777778,1,soybean,2015,monoculture
0.305,0.608316997,1.777777778,1,soybean,2015,monoculture
0.327,0.524518227,1.777777778,1,soybean,2015,monoculture
0.294,0.524518227,1.777777778,1,soybean,2015,monoculture
0.325,0.524518227,0.888888889,1,soybean,2015,monoculture
0.302,0.547485297,0.888888889,1,soybean,2015,monoculture
0.317,0.608316997,1.333333333,1,soybean,2015,monoculture
0.133,0.419614582,1.333333333,1,soybean,2015,monoculture
0.269,0.547485297,1.333333333,1,soybean,2015,monoculture
0.271,0.558658467,1.777777778,1,soybean,2015,monoculture
0.32,0.314710936,1.777777778,1,soybean,2015,monoculture
0.208,0.41899385,1.777777778,1,soybean,2015,monoculture
0.261,0.488826158,1.777777778,1,soybean,2015,monoculture
0.223,0.357541419,4,1,soybean,2015,monoculture
0.136,0.155182907,4,1,soybean,2015,monoculture
0.1693,0.300434109,4,1,soybean,2015,monoculture
0.223,0.357541419,4,1,soybean,2015,monoculture
0.261,0.558658467,4,1,soybean,2015,monoculture
0.185,0.248292652,4,1,soybean,2015,monoculture
0.271,0.558658467,4,1,soybean,2015,monoculture
0.361,0.768155392,4,1,soybean,2015,monoculture
0.389,0.698323083,4,1,soybean,2015,monoculture
0.2454,0.41899385,1.777777778,1,soybean,2015,monoculture
0.252,0.419614582,1.777777778,1,soybean,2015,monoculture
0.158,0.187771318,1.777777778,1,soybean,2015,monoculture
0.293,0.375542636,1.777777778,1,soybean,2015,monoculture
0.174,0.349161542,2.222222222,1,soybean,2015,monoculture
0.243,0.486653598,2.222222222,1,soybean,2015,monoculture
0.293,0.357541419,2.222222222,1,soybean,2015,monoculture
0.242,0.357541419,2.222222222,1,soybean,2015,monoculture
0.233,0.419614582,2.222222222,1,soybean,2015,monoculture
0.254,0.717565764,3.555555556,1,soybean,2015,monoculture
0.199,0.268156064,3.555555556,1,soybean,2015,monoculture
0.279,0.547485297,3.555555556,1,soybean,2015,monoculture
0.27,0.486653598,3.555555556,1,soybean,2015,monoculture
0.255,0.402234096,3.555555556,1,soybean,2015,monoculture
0.137,0.223463387,3.555555556,1,soybean,2015,monoculture
0.164,0.262879845,3.555555556,1,soybean,2015,monoculture
0.337,0.357541419,3.555555556,1,soybean,2015,monoculture
0.273,0.446926773,4.888888889,1,soybean,2015,monoculture
0.258,0.402234096,4.888888889,1,soybean,2015,monoculture
0.122,0.178770709,4.888888889,1,soybean,2015,monoculture
0.213,0.357541419,4.888888889,1,soybean,2015,monoculture
0.234,0.367162759,4.888888889,1,soybean,2015,monoculture
0.214,0.419614582,4.888888889,1,soybean,2015,monoculture
0.1665,0.119180473,4.888888889,1,soybean,2015,monoculture
0.209,0.367162759,4.888888889,1,soybean,2015,monoculture
0.334,0.524518227,4.888888889,1,soybean,2015,monoculture
0.181,0.262879845,4,1,soybean,2015,monoculture
0.224,0.419614582,4,1,soybean,2015,monoculture
0.299,0.419614582,4,1,soybean,2015,monoculture
0.223,0.367162759,4,1,soybean,2015,monoculture
0.241,0.419614582,4,1,soybean,2015,monoculture
0.252,0.419614582,4,1,soybean,2015,monoculture
0.207,0.262879845,4,1,soybean,2015,monoculture
0.252,0.419614582,4,1,soybean,2015,monoculture
0.231,0.357541419,4,1,soybean,2015,monoculture
0.252,0.419614582,5.333333333,1,soybean,2015,monoculture
0.198,0.312848741,5.333333333,1,soybean,2015,monoculture
0.3,0.628490775,5.333333333,1,soybean,2015,monoculture
0.276,0.547485297,5.333333333,1,soybean,2015,monoculture
0.19,0.262879845,5.333333333,1,soybean,2015,monoculture
0.266,0.357541419,5.333333333,1,soybean,2015,monoculture
0.301,0.635629189,5.333333333,1,soybean,2015,monoculture
0.289,0.402234096,5.333333333,1,soybean,2015,monoculture
0.314,0.635629189,5.333333333,1,soybean,2015,monoculture
0.261,0.402234096,5.777777778,1,soybean,2015,monoculture
0.198,0.312848741,5.777777778,1,soybean,2015,monoculture
0.105,0.150217054,5.777777778,1,soybean,2015,monoculture
0.19,0.312848741,5.777777778,1,soybean,2015,monoculture
0.126,0.119180473,5.777777778,1,soybean,2015,monoculture
0.278,0.402234096,5.777777778,1,soybean,2015,monoculture
0.18,0.21725607,5.777777778,1,soybean,2015,monoculture
0.316,0.375542636,5.777777778,1,soybean,2015,monoculture
0.278,0.402234096,5.777777778,1,soybean,2015,monoculture
0.11,0.150217054,5.777777778,1,soybean,2015,monoculture
0.303,0.524518227,5.777777778,1,soybean,2015,monoculture
0.096,0.100558524,5.777777778,1,soybean,2015,monoculture
0.298,0.669148697,5.777777778,1,soybean,2015,monoculture
0.248,0.472066404,5.777777778,1,soybean,2015,monoculture
0.289,0.472066404,5.777777778,1,soybean,2015,monoculture
0.377,0.794536486,5.777777778,1,soybean,2015,monoculture
0.268,0.472066404,5.777777778,1,soybean,2015,monoculture
0.191,0.268156064,5.777777778,1,soybean,2015,monoculture
0.242,0.357541419,5.777777778,1,soybean,2015,monoculture
0.353,0.446926773,5.777777778,1,soybean,2015,monoculture
0.167,0.268156064,5.333333333,1,soybean,2015,monoculture
0.252,0.357541419,5.333333333,1,soybean,2015,monoculture
0.326,0.547485297,5.333333333,1,soybean,2015,monoculture
0.327,0.446926773,5.333333333,1,soybean,2015,monoculture
0.173,0.268156064,5.333333333,1,soybean,2015,monoculture
0.198,0.262879845,5.333333333,1,soybean,2015,monoculture
0.251,0.446926773,5.333333333,1,soybean,2015,monoculture
0.204,0.300434109,5.333333333,1,soybean,2015,monoculture
0.231,0.357541419,5.333333333,1,soybean,2015,monoculture
0.292,0.357541419,5.333333333,1,soybean,2015,monoculture
0.177,0.314710936,10.22222222,1,soybean,2015,monoculture
0.224,0.486653598,10.22222222,1,soybean,2015,monoculture
0.268,0.402234096,10.22222222,1,soybean,2015,monoculture
0.184,0.314710936,10.22222222,1,soybean,2015,monoculture
0.29,0.419614582,10.22222222,1,soybean,2015,monoculture
0.3,0.357541419,10.22222222,1,soybean,2015,monoculture
0.262,0.419614582,10.22222222,1,soybean,2015,monoculture
0.258,0.472066404,10.22222222,1,soybean,2015,monoculture
0.381,0.472066404,10.22222222,1,soybean,2015,monoculture
0.368,0.524518227,10.22222222,1,soybean,2015,monoculture
0.36,0.524518227,8.888888889,1,soybean,2015,monoculture
