leaf,total,density,timepoints,species,plantedyear,plantedtype
0.345,1.389,79.11111111,1,wheat,2011,monoculture
0.276,1.045,79.11111111,1,wheat,2011,monoculture
0.063,0.315,79.11111111,1,wheat,2011,monoculture
0.052,0.201,79.11111111,1,wheat,2011,monoculture
0.209,1.239,79.11111111,1,wheat,2011,monoculture
0.155,0.902,85.33333333,1,wheat,2011,monoculture
0.269,0.792,85.33333333,1,wheat,2011,monoculture
0.136,0.746,85.33333333,1,wheat,2011,monoculture
0.067,0.156,85.33333333,1,wheat,2011,monoculture
0.036,0.081,85.33333333,1,wheat,2011,monoculture
0.25,0.813,74.22222222,1,wheat,2011,monoculture
0.179,0.576,74.22222222,1,wheat,2011,monoculture
0.142,0.369,74.22222222,1,wheat,2011,monoculture
0.057,0.19,74.22222222,1,wheat,2011,monoculture
0.077,0.206,74.22222222,1,wheat,2011,monoculture
0.094,0.355,88.44444444,1,wheat,2011,monoculture
0.197,0.626,88.44444444,1,wheat,2011,monoculture
0.076,0.415,88.44444444,1,wheat,2011,monoculture
0.11,0.554,88.44444444,1,wheat,2011,monoculture
0.093,0.281,88.44444444,1,wheat,2011,monoculture
0.083,0.41,107.5555556,1,wheat,2011,monoculture
0.078,0.304,107.5555556,1,wheat,2011,monoculture
0.094,0.316,107.5555556,1,wheat,2011,monoculture
0.06,0.243,107.5555556,1,wheat,2011,monoculture
0.076,0.219,107.5555556,1,wheat,2011,monoculture
0.236,0.846,37.33333333,1,wheat,2011,monoculture
0.124,0.331,37.33333333,1,wheat,2011,monoculture
0.127,0.339,37.33333333,1,wheat,2011,monoculture
0.142,0.644,37.33333333,1,wheat,2011,monoculture
0.018,0.038,37.33333333,1,wheat,2011,monoculture
0.195,0.492,61.77777778,1,wheat,2011,monoculture
0.112,0.279,61.77777778,1,wheat,2011,monoculture
0.257,0.917,61.77777778,1,wheat,2011,monoculture
0.123,0.596,61.77777778,1,wheat,2011,monoculture
0.041,0.209,61.77777778,1,wheat,2011,monoculture
0.056,0.197,189.3333333,1,wheat,2011,monoculture
0.093,0.277,189.3333333,1,wheat,2011,monoculture
0.189,0.73,189.3333333,1,wheat,2011,monoculture
0.082,0.37,189.3333333,1,wheat,2011,monoculture
0.082,0.389,189.3333333,1,wheat,2011,monoculture
0.11,0.422,201.3333333,1,wheat,2011,monoculture
0.12,0.365,201.3333333,1,wheat,2011,monoculture
0.03,0.101,201.3333333,1,wheat,2011,monoculture
0.073,0.207,201.3333333,1,wheat,2011,monoculture
0.085,0.198,201.3333333,1,wheat,2011,monoculture
0.074,0.16,236.8888889,1,wheat,2011,monoculture
0.148,0.452,236.8888889,1,wheat,2011,monoculture
0.116,0.473,236.8888889,1,wheat,2011,monoculture
0.077,0.391,236.8888889,1,wheat,2011,monoculture
0.09,0.232,236.8888889,1,wheat,2011,monoculture
0.232,0.782,236.8888889,1,wheat,2011,monoculture
0.074,0.245,236.8888889,1,wheat,2011,monoculture
0.074,0.236,236.8888889,1,wheat,2011,monoculture
0.069,0.252,236.8888889,1,wheat,2011,monoculture
0.057,0.205,236.8888889,1,wheat,2011,monoculture
0.032,0.063,334.6666667,1,wheat,2011,monoculture
0.055,0.238,334.6666667,1,wheat,2011,monoculture
0.078,0.239,334.6666667,1,wheat,2011,monoculture
0.198,0.845,334.6666667,1,wheat,2011,monoculture
0.035,0.132,334.6666667,1,wheat,2011,monoculture
0.06,0.159,334.6666667,1,wheat,2011,monoculture
0.082,0.418,334.6666667,1,wheat,2011,monoculture
0.027,0.089,334.6666667,1,wheat,2011,monoculture
0.098,0.26,334.6666667,1,wheat,2011,monoculture
0.083,0.278,334.6666667,1,wheat,2011,monoculture
0.116,0.453,222.6666667,1,wheat,2011,monoculture
0.058,0.249,222.6666667,1,wheat,2011,monoculture
0.121,0.633,222.6666667,1,wheat,2011,monoculture
0.054,0.325,222.6666667,1,wheat,2011,monoculture
0.054,0.213,222.6666667,1,wheat,2011,monoculture
0.061,0.265,222.6666667,1,wheat,2011,monoculture
0.036,0.132,222.6666667,1,wheat,2011,monoculture
0.059,0.292,222.6666667,1,wheat,2011,monoculture
0.035,0.087,222.6666667,1,wheat,2011,monoculture
0.086,0.186,222.6666667,1,wheat,2011,monoculture
0.074,0.1285,280.8888889,1,wheat,2011,monoculture
0.047,0.145,280.8888889,1,wheat,2011,monoculture
0.096,0.236,280.8888889,1,wheat,2011,monoculture
0.063,0.122,280.8888889,1,wheat,2011,monoculture
0.057,0.171,280.8888889,1,wheat,2011,monoculture
0.167,0.574,280.8888889,1,wheat,2011,monoculture
0.059,0.181,280.8888889,1,wheat,2011,monoculture
0.021,0.076,280.8888889,1,wheat,2011,monoculture
0.016,0.045,280.8888889,1,wheat,2011,monoculture
0.042,0.09,280.8888889,1,wheat,2011,monoculture
0.066,0.146,365.7777778,1,wheat,2011,monoculture
0.105,0.488,365.7777778,1,wheat,2011,monoculture
0.101,0.316,365.7777778,1,wheat,2011,monoculture
0.038,0.121,365.7777778,1,wheat,2011,monoculture
0.051,0.124,365.7777778,1,wheat,2011,monoculture
0.183,0.705,365.7777778,1,wheat,2011,monoculture
0.249,0.909,365.7777778,1,wheat,2011,monoculture
0.028,0.107,365.7777778,1,wheat,2011,monoculture
0.023,0.085,365.7777778,1,wheat,2011,monoculture
0.022,0.072,365.7777778,1,wheat,2011,monoculture
0.156,0.895,316.8888889,1,wheat,2011,monoculture
0.027,0.099,316.8888889,1,wheat,2011,monoculture
0.176,0.562,316.8888889,1,wheat,2011,monoculture
0.028,0.138,316.8888889,1,wheat,2011,monoculture
0.083,0.226,316.8888889,1,wheat,2011,monoculture
0.02,0.068,316.8888889,1,wheat,2011,monoculture
0.045,0.271,316.8888889,1,wheat,2011,monoculture
0.026,0.049,316.8888889,1,wheat,2011,monoculture
